Códigos Padre,Código Servinte,Descripción Antigua,Código Nuevo Estándar,Nueva Estructura Estándar Semántico,Caracteres,Clasificación Del Artículo,MCE,Psicotrópico (S/N),Marcación Regulado (MER),vesicantes e irritantes,Registro INVIMA,Expediente,Consecutivo,CUM sin ceros,CUM con ceros,CUM sin ceros Formulado,PBS,VEN,ATC,Código UDM,descripción UDM,Cond. de Almacenamiento,MIPRES DCI,Alto riesgo,LASA,Gabinete,Nivel 1 Estándar Semántico,Validación CUM,Inventario 24052024,Observación Reunión Compras 20240524,Validación CUM,Validación con CUM Adjudicación,Principio Activo,Nombre ATC,Nombre Preciso,Concentración Estandarizada (por unidad minima comercial),Forma Farmacéutica,Marca Comercial,Titular de Registro,IMPORTADOR,FABRICANTE,Vía Administración,Descripción CUM
159051,1590511,ACETAMINOFEN 10 MG ML SLN INY X 100 ML,1590511,ACETAMINOFEN 10MG/1ML SOL INYECTABLE IV FCO *100ML CORPAUL (TRAUCET),68,MEDICAMENTO,NO,N,N/A,,2023M-0012054-R2,20025495,5,20025495-5,20025495-05,20025495-5,PBS,V,N02BE01,FR,FRASCO,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,ACETAMINOFEN 10MG/ML SOL INY,Activo,42,ok,20025495-5,VERDADERO,ACETAMINOFEN,PARACETAMOL,,10mg,SOLUCION INYECTABLE,TRAUCET,CORPAUL,#N/D,CORPORACION DE FOMENTO ASISTENCIAL DEL HOSPITAL UNIVERSITARIO SAN VICENTE DE PAUL CORPAUL,INTRAVENOSA,PRESENTACION COMERCIAL: CAJA POR 24 Â·BOLSAS PLÃSTICA EN POLIPROPILENO COEXTRUIDO EMPACADO EN FOIL DE ALUMINIO POR 100ML
159002,159002,ACETAMINOFEN 150MG 5ML 60ML JARABE,1590020,ACETAMINOFEN 150MG/5ML JARABE SOL ORAL FCO *60ML AMERICAN GENERICS,66,MEDICAMENTO,NO,N,N/A,,2023M-0001556-R3,19929516,5,19929516-5,19929516-05,19929516-5,PBS,E,N02BE01,FR,FRASCO,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,ACETAMINOFEN 150MG/5ML(3%) JBE,Activo,147,ok,19929516-5,VERDADERO,ACETAMINOFEN,PARACETAMOL,,150mg,JARABE,,AMERICAN GENERICS,#N/D,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,ORAL,FRASCO PET INCOLORO POR 60 ML.
159002,1590021,ACETAMINOFEN 150MG 5ML 60ML JARABE,1590021,ACETAMINOFEN 150MG/5ML SOL ORAL FCO *60ML LAPROFF,49,MEDICAMENTO,NO,N,N/A,,2020M-006964-R2,207411,4,207411-4,207411-04,207411-4,PBS,E,N02BE01,FR,FRASCO,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,ACETAMINOFEN 150MG/5ML(3%) JBE,Activo,174,ok,207411-4,VERDADERO,ACETAMINOFEN,PARACETAMOL,,150mg,JARABE,,LABORATORIO PROFESIONAL FARMACEUTICO S.A.S. - LABORATORIOS LAPROFF S.A.S.,#N/D,LABORATORIO PROFESIONAL FARMACEUTICO S.A.S. - LABORATORIOS LAPROFF S.A.S.,ORAL,FRASCO PET INCOLORO POR 60 ML.
1591000,1591000,ACETAMINOFEN 150 MG/5 ML SLN ORAL FCO*90 ML LABORATORIOS LAPROFF S.A.S.,1591000,ACETAMINOFEN 150MG/5ML SOL ORAL FCO *90ML LAPROFF,49,MEDICAMENTO,NO,N,N/A,,2020M-006964-R2,207411,5,207411-5,207411-05,207411-5,PBS,E,N02BE01,UN,UNIDAD,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,ACETAMINOFEN 150MG/5ML(3%) JBE,Activo,#N/D,ok,#N/D,Medicamento sin negociacion vigente. Ningun proveedor lo cotizo,ACETAMINOFEN,PARACETAMOL,,150mg,JARABE,,LABORATORIO PROFESIONAL FARMACEUTICO S.A.S. - LABORATORIOS LAPROFF S.A.S.,#N/D,LABORATORIO PROFESIONAL FARMACEUTICO S.A.S. - LABORATORIOS LAPROFF S.A.S.,ORAL,FRASCO PET INCOLORO POR 90 ML.
159003,1590031,ACETAMINOFEN 500 MG TABLETA GENFAR S.A.,1590031,ACETAMINOFEN 500MG TABLETA ORAL GENFAR,38,MEDICAMENTO,NO,N,N/A,,2021M-006528-R4,53560,5,53560-5,53560-05,53560-5,PBS,E,N02BE01,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,ACETAMINOFEN 500MG CAP / TAB / TAB REC,Activo,0,ok,53560-5,VERDADERO,ACETAMINOFEN,PARACETAMOL,,500mg,TABLETA,,GENFAR S.A.,GENFAR S.A.,FAREVA VILLA RICA S.A.S.,ORAL,CAJA POR 100TABLETAS EN BLISTER PVC TRANSPARENTE Y ALUMINIO EN 10 BLISTER POR 10 TABLETAS CADA UNO.
159003,159003,ACETAMINOFEN 500 MG,1590030,ACETAMINOFEN 500MG TABLETA ORAL AMERICAN GENERICS,49,MEDICAMENTO,NO,N,N/A,,2023M-0002317-R3,19935303,4,19935303-4,19935303-04,19935303-4,PBS,E,N02BE01,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,ACETAMINOFEN 500MG CAP / TAB / TAB REC,Activo,10706,ok,19935303-4,VERDADERO,ACETAMINOFEN,PARACETAMOL,,500mg,TABLETA,,AMERICAN GENERICS,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,SHENZHOU JIHENG PHARMACEUTICAL CO.. LTD.,ORAL,CAJA POR 100 TABLETAS EN 10 BLISTER PVC INCOLOROSIN DATOMAS PAPEL ALUMINIO POR 10 TABLETAS CADA UNO
159005,159005,ACETAMINOFEN CODEINA 325/30,1590050,ACETAMINOFEN 325MG/CODEINA 30MG TABLETA ORAL EUROFARMA (WINADEINE F),68,MEDICAMENTO,NO,N,N/A,,2021M-002615-R3,51522,8,51522-8,51522-08,51522-8,PBS,N,N02AJ06,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,626,N,N,S,ACETAMINOFEN+CODEINA (325+30)MG CAP / TAB / TAB REC,Activo,40,ok,51522-8,VERDADERO,ACETAMINOFEN+CODEINA,CODEINA Y PARACETAMOL,,325mg/30mg,TABLETA,WINADEINE F,EUROFARMA COLOMBIA,#N/D,SANOFI - AVENTIS DE COLOMBIA S.A.,ORAL,CAJA POR 100 TABLETAS EN BLISTER PVC/ALUMINIO
159004,159004,ACETAMINOFEN CODEINA 500MG 8MG (WINADEINE),1590040,ACETAMINOFEN 500MG/CODEINA 8MG TABLETA ORAL SANOFI (WINADEINE),62,MEDICAMENTO,NO,N,N/A,,2023M-009469-R4,27363,1,27363-1,27363-01,27363-1,PBS,N/A,N02AJ06,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,ACETAMINOFEN+CODEINA (500+8)MG CAP / TAB / TAB REC,Activo,-4,ok,#N/D,Medicamento sin negociacion vigente. Ningun proveedor lo cotizo,ACETAMINOFEN+CODEINA,CODEINA Y PARACETAMOL,,500mg/8mg,TABLETA,WINADEINE,SANOFI-AVENTIS DE COLOMBIA S.A.,#N/D,SANOFI - AVENTIS DE COLOMBIA S.A.,ORAL,CAJA X 100 TABLETAS EN BLISTER DE PVC/ALUMINIO POR 10 TABLETAS CADA UNO.
159023,159023,ACETAMINOFEN HIDROCODONA 325 MG 5 MG,1590230,ACETAMINOFEN 325MG/HIDROCODONA 5MG TABLETA ORAL GRÜNENTHAL (SINALGEN),69,MEDICAMENTO,NO,N,N/A,,2023M-0015124-R1,20061322,5,20061322-5,20061322-05,20061322-5,PBS,E,N02BE71,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,626,N,N,S,ACETAMINOFEN+HIDROCODONA (325+5)MG CAP / TAB / TAB REC,Activo,35,ajustadon en excel para hora cero,20061322-5,Cum Negociado columna AI. Actualizar SERVINTE. CUM de Base Excel OK,ACETAMINOFEN+HIDROCODONA,PARACETAMOL. COMBINACIONES CON PSICOLECTICOS,,325mg/5mg,TABLETA,SINALGEN,GRUNENTHAL COLOMBIANA S.A.,GRUNENTHAL COLOMBIANA S.A.,SPECGX LLC.,ORAL,CAJA POR 90 TABLETAS EN BLISTER DE PAPEL/ADHESIVO/FOIL ALUMINIO/PVC TRANSPARENTE
159074,159074,ACETAMINOFEN-OXICODONA 325/5 MG TAB LEGRAND,1590740,ACETAMINOFEN325MG/OXICODONA 5MG TABLETA ORAL LEGRAND (SENIDOL),62,MEDICAMENTO,SI,N,N/A,,2023M-0006056-R2,19962531,12,19962531-12,19962531-12,19962531-12,PBS,E,N02AA55,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,S,N,N,ACETAMINOFEN+OXICODONA (325+5)MG CAP / TAB / TAB REC,Activo,425,ok,19962531-12,VERDADERO,ACETAMINOFEN+OXICODONA,OXICODONA-NALOXONA,,325mg/5mg,TABLETA,SENIDOL,LABORATORIOS LEGRAND S.A.,LABORATORIOS LEGRAND S.A.,SPECGX LLC.,ORAL,USO INSTITUCIONAL:CAJA CON BLISTER DE PVC TRANSPARENTE Y ALUMINIO POR: 30 TABLETAS
178027,178027,ACETAZOLAMIDA TABLETA 250MG,1780270,ACETAZOLAMIDA 250MG TABLETA ORAL COLMED (VICLEAR),49,MEDICAMENTO,NO,N,N/A,,2023M-0007696-R1,19973358,2,19973358-2,19973358-02,19973358-2,PBS,E,S01EC01,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,ACETAZOLAMIDA 250MG CAP / TAB / TAB REC,Activo,139,ajustadon en excel para hora cero,19973358-2,Cum Negociado columna AI. Actualizar SERVINTE. CUM de Base Excel OK,ACETAZOLAMIDA,ACETAZOLAMIDA,,250mg,TABLETA,VICLEAR,COLMED,#N/D,PROCAPS S.A.,ORAL,CAJA POR 30 TABLETAS EN BLÃSTER PVC - PVDC TRANSPARENTE / ALUMINIO. BLÃSTER POR 10 TABLETAS.
156020,156020,ACETILCISTEINA 200MG (FLUIMUCIL),1560200,ACETILCISTEINA 200MG POLVO RECONSTITUIR A SOL ORAL SOBRE *2.2G ZAMBON (FLUIMICIL),81,MEDICAMENTO,NO,N,N/A,,2019M-011342-R3,33777,3,33777-3,33777-03,33777-3,PBS,E,R05CB01,SB,SOBRE,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,ACETILCISTEINA 200MG/SOB GRAN SOL ORAL / GRAN SUSP ORAL / POLV SOL ORAL / POLV SUSP ORAL,Activo,70,ok,33777-3,VERDADERO,N-ACETILCISTEINA,ACETILCISTEINA,,200mg,GRANULOS,FLUIMUCIL,ZAMBON COLOMBIA S.A.,#N/D,SERVICIO TECNICO GONHER FARMACEUTICA LTDA.,ORAL,CAJA POR 30 SOBRES(SACHET) DE PAPEL TRILAMINDADO - PAPEL- ALUMINIO - POLIETILENO POR 3G DE GRANULADO CADA UNO.
118004,1180041,ACICLOVIR 200 MG TABLETA GENFAR S.A.,1180041,ACICLOVIR 200MG TABLETA ORAL GENFAR,35,MEDICAMENTO,NO,N,N/A,,2022M-012398-R4,19924189,1,19924189-1,19924189-01,19924189-1,PBS,E,J05AB01,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,ACICLOVIR 200MG CAP / TAB / TAB REC,Activo,202,ok,19924189-1,VERDADERO,ACICLOVIR,ACICLOVIR,,200mg,TABLETA,,GENFAR S.A.,#N/D,FAREVA VILLA RICA S.A.S.,ORAL,CAJA POR 25 TABLETAS EN BLISTER DE PVC AMBAR/ALUMINIO POR 5 TABLETAS C/U.
118004,118004,ACICLOVIR TABLETA 200MG,1180040,ACICLOVIR 200MG TABLETA ORAL LA SANTE,37,MEDICAMENTO,NO,N,N/A,,2022M-007289-R2,209835,6,209835-6,209835-06,209835-6,PBS,E,J05AB01,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,S,S,ACICLOVIR 200MG CAP / TAB / TAB REC,Activo,#N/D,ok,209835-6,VERDADERO,ACICLOVIR,ACICLOVIR,,200mg,TABLETA,,LABORATORIOS LA SANTE,#N/D,LABORATORIOS LA SANTE S.A.,ORAL,CAJA POR 40 TABLETAS EN PVC / ALUMINIO
118001,118001,ACICLOVIR 200MG 5ML SUSP ORAL 90ML (ACICLOVIR),1180010,ACICLOVIR 200MG/5ML POLVO RECONSTITUIR A SUSP A ORAL FCO *90ML ANGLOPHARMA,74,MEDICAMENTO,NO,N,N/A,,2020M-0003021-R2,19940740,2,19940740-2,19940740-02,19940740-2,PBS,V,J05AB01,FR,FRASCO,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,N,ACICLOVIR 200MG/5ML(4%) GRAN SUSP ORAL / POLV SUSP ORAL,Activo,2,ok,19940740-2,VERDADERO,ACICLOVIR,ACICLOVIR,,200mg,POLVO PARA RECONSTITUIR A SUSPENSION ORAL,,ANGLOPHARMA,#N/D,SERVICIO TECNICO GONHER FARMACEUTICA LTDA - PLANTA I,ORAL,CAJA DE CARTULINA CON FRASCO PLÃSTICO PEAD COLOR BLANCO CON TAPA PLÃSTICA DE POLIPROPILENO POR 30 G. DE POLVO PARA RECONSTITUIR A UN VOLUMEN DE 90 ML + CUCHARA DOSIFICADORA.
118002,118002,ACICLOVIR 250MG SLN INY,1180020,ACICLOVIR 250MG POLVO LIOFILIZADO A SOL INYECTABLE IV PISA CJ *5 FCO (ISAVIR),77,MEDICAMENTO,NO,N,MER,,2019M-0015150-R1,20064603,1,20064603-1,20064603-01,20064603-1,PBS,E,J05AB01,VL,VIAL,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,ACICLOVIR 250MG POLV INY,Activo,#N/D,ok,#N/D,Medicamento sin negociacion vigente. Ningun proveedor lo cotizo,ACICLOVIR,ACICLOVIR,,250mg,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,ISAVIR,LABORATORIOS PISA S.A. DE C.V,PISA FARMACEUTICA DE COLOMBIA S.A.,LABORATORIOS PISA S.A DE C.V.,INTRAVENOSA,CAJA PLEGADIZA CON 5 FRASCOS VIAL DE VIDRIO TIPO I INCOLORO CON TAPON DE BROMOBUTILO Y TAPA DE POLIPROPILENO CON 250MG DE ACICLOVIR
118002,1180021,ACICLOVIR 250MG SLN INY,1180021,ACICLOVIR 250MG POLVO ESTERIL A SOL INYECTABLE IV VITALIS CJ *10U,65,MEDICAMENTO,NO,N,MER,,2022M-0003840-R2,19945134,5,19945134-5,19945134-05,19945134-5,PBS,E,J05AB01,VL,VIAL,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,S,ACICLOVIR 250MG POLV INY,Activo,248,ok,19945134-5,VERDADERO,ACICLOVIR,ACICLOVIR,,250mg,POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE,,VITALIS S.A.C.I.,#N/D,VITALIS S.A.C.I PLANTA 2,INTRAVENOSA,CAJA PLEGADIZA POR 10 VIALES DE VIDRIO TIPO I COLOR AMBAR. TAPON GRIS DE BROMOBUTILO Y AGRAFE DE ALUMINIO TIPO CEBRA.
177105,177105,ACICLOVIR 3PORC UNG OFT,1771050,ACICLOVIR 3% UNGUENTO TOPICO TUBO *30G EUROPHARMA (VIREX),57,MEDICAMENTO,NO,N,N/A,,2022M-010017-R3,219368,1,219368-1,219368-01,219368-1,PBS,N/A,D06BB03,TU,TUBO,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,N,N,ACICLOVIR 3% UNG OFT,Activo,#N/D,ajustadon en excel para hora cero,219368-7,Actualizar Cum Negociacion 2024-2025,ACICLOVIR,ACICLOVIR,,3g,UNGUENTO TOPICO,VIREX,EUROFARMA COLOMBIA,#N/D,EUROFARMA COLOMBIA S.A.S.,TOPICA (EXTERNA),CAJA DE CARTÃ“N PLEGADIZA CON 1 TUBO PLÃSTICO POR 30 G.
177101,177101,ACICLOVIR 5 PORC UNGUENTO TOPICO (ACICLOVIR) 15G,1771010,ACICLOVIR 5% UNGUENTO TOPICO TUBO *15G GENFAR,45,MEDICAMENTO,NO,N,N/A,,2022M-005619-R3,57693,2,57693-2,57693-02,57693-2,PBS,E,D06BB03,TU,TUBO,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,S,N,ACICLOVIR 5% UNG TOP,Activo,6,ok,57693-2,VERDADERO,ACICLOVIR,ACICLOVIR,,5g,UNGUENTO TOPICO,,GENFAR S.A.,#N/D,FAREVA VILLA RICA S.A.S.,TOPICA (EXTERNA),CAJA CON UN TUBO COLAPSIBLE EN ALUMINIO POR 15 G CON TAPA EN PP COLOR BLANCO
118009,118009,ACICLOVIR 800 MG,1180090,ACICLOVIR 800MG TABLETA ORAL GENFAR,35,MEDICAMENTO,NO,N,N/A,,2020M-001477-R3,51715,1,51715-1,51715-01,51715-1,PBS,E,J05AB01,TB,TABLETAS,ALMACENAR A <30 GRADOS CENTIGRADOS,0,N,S,N,ACICLOVIR 800MG CAP / TAB / TAB REC,Activo,12,ok,51715-1,VERDADERO,ACICLOVIR,ACICLOVIR,,800mg,TABLETA,,GENFAR S.A.,#N/D,FAREVA VILLA RICA S.A.S.,ORAL,CAJA POR 10 TABLETAS EN BLISTER ALUMINIO / PVC AMBAR
1150120,1150120,ACIDO ACETICO GLACIAL 3 % SOLUCION FRASCO *50 ML MAGISTRAL FAGRON,1150120,ACIDO ACETICO GLACIAL 3% SOLUCION TOPICA FRASCO *50ML FAGRON MAGISTRAL,71,MAGISTRAL,NO,N,N/A,,MAGISTRAL,N/A,N/A,N/A-N/A,N/A-N/A,N/A-N/A,NO PBS,N/A,N/A,FR,FRASCO,ALMACENAR A <30 GRADOS CENTIGRADOS,50000,N,N,N,ACETICO ACIDO GLACIAL 3% SOL TOP MAGISTRAL,Magistral,#N/D,ok,N/A-N/A,VERDADERO,ACETICO ACIDO GLACIAL,NO APLICA,,3%,SOLUCION TOPICA,,FAGRON,#N/D,#N/D,TOPICA (EXTERNA),#N/D
